Table(Links to Sample Data),Field #,Column,type
"query://874190/?table=Badges|Badges","1","Id","int(10)"
"query://874190/?table=Badges|Badges","2","UserId","int(10)"
"query://874190/?table=Badges|Badges","3","Name","nvarchar(50)"
"query://874190/?table=Badges|Badges","4","Date","datetime"
"query://874190/?table=Badges|Badges","5","Class","tinyint(3)"
"query://874190/?table=Badges|Badges","6","TagBased","bit"
"query://874190/?table=CloseAsOffTopicReasonTypes|CloseAsOffTopicReasonTypes","1","Id","smallint(5)"
"query://874190/?table=CloseAsOffTopicReasonTypes|CloseAsOffTopicReasonTypes","2","IsUniversal","bit"
"query://874190/?table=CloseAsOffTopicReasonTypes|CloseAsOffTopicReasonTypes","3","InputTitle","nvarchar(100)"
"query://874190/?table=CloseAsOffTopicReasonTypes|CloseAsOffTopicReasonTypes","4","MarkdownInputGuidance","nvarchar(500)"
"query://874190/?table=CloseAsOffTopicReasonTypes|CloseAsOffTopicReasonTypes","5","MarkdownPostOwnerGuidance","nvarchar(500)"
"query://874190/?table=CloseAsOffTopicReasonTypes|CloseAsOffTopicReasonTypes","6","MarkdownPublicGuidance","nvarchar(500)"
"query://874190/?table=CloseAsOffTopicReasonTypes|CloseAsOffTopicReasonTypes","7","MarkdownConcensusDescription","nvarchar(500)"
"query://874190/?table=CloseAsOffTopicReasonTypes|CloseAsOffTopicReasonTypes","8","CreationDate","datetime"
"query://874190/?table=CloseAsOffTopicReasonTypes|CloseAsOffTopicReasonTypes","9","CreationModeratorId","int(10)"
"query://874190/?table=CloseAsOffTopicReasonTypes|CloseAsOffTopicReasonTypes","10","ApprovalDate","datetime"
"query://874190/?table=CloseAsOffTopicReasonTypes|CloseAsOffTopicReasonTypes","11","ApprovalModeratorId","int(10)"
"query://874190/?table=CloseAsOffTopicReasonTypes|CloseAsOffTopicReasonTypes","12","DeactivationDate","datetime"
"query://874190/?table=CloseAsOffTopicReasonTypes|CloseAsOffTopicReasonTypes","13","DeactivationModeratorId","int(10)"
"query://874190/?table=CloseReasonTypes|CloseReasonTypes","1","Id","tinyint(3)"
"query://874190/?table=CloseReasonTypes|CloseReasonTypes","2","Name","nvarchar(200)"
"query://874190/?table=CloseReasonTypes|CloseReasonTypes","3","Description","nvarchar(500)"
"query://874190/?table=Comments|Comments","1","Id","int(10)"
"query://874190/?table=Comments|Comments","2","PostId","int(10)"
"query://874190/?table=Comments|Comments","3","Score","int(10)"
"query://874190/?table=Comments|Comments","4","Text","nvarchar(600)"
"query://874190/?table=Comments|Comments","5","CreationDate","datetime"
"query://874190/?table=Comments|Comments","6","UserDisplayName","nvarchar(40)"
"query://874190/?table=Comments|Comments","7","UserId","int(10)"
"query://874190/?table=Comments|Comments","8","ContentLicense","varchar(30)"
"query://874190/?table=FlagTypes|FlagTypes","1","Id","tinyint(3)"
"query://874190/?table=FlagTypes|FlagTypes","2","Name","nvarchar(50)"
"query://874190/?table=FlagTypes|FlagTypes","3","Description","nvarchar(500)"
"query://874190/?table=PendingFlags|PendingFlags","1","Id","int(10)"
"query://874190/?table=PendingFlags|PendingFlags","2","FlagTypeId","tinyint(3)"
"query://874190/?table=PendingFlags|PendingFlags","3","PostId","int(10)"
"query://874190/?table=PendingFlags|PendingFlags","4","CreationDate","date"
"query://874190/?table=PendingFlags|PendingFlags","5","CloseReasonTypeId","tinyint(3)"
"query://874190/?table=PendingFlags|PendingFlags","6","CloseAsOffTopicReasonTypeId","smallint(5)"
"query://874190/?table=PendingFlags|PendingFlags","7","DuplicateOfQuestionId","int(10)"
"query://874190/?table=PendingFlags|PendingFlags","8","BelongsOnBaseHostAddress","nvarchar(100)"
"query://874190/?table=PostFeedback|PostFeedback","1","Id","int(10)"
"query://874190/?table=PostFeedback|PostFeedback","2","PostId","int(10)"
"query://874190/?table=PostFeedback|PostFeedback","3","IsAnonymous","bit"
"query://874190/?table=PostFeedback|PostFeedback","4","VoteTypeId","tinyint(3)"
"query://874190/?table=PostFeedback|PostFeedback","5","CreationDate","datetime"
"query://874190/?table=PostHistory|PostHistory","1","Id","int(10)"
"query://874190/?table=PostHistory|PostHistory","2","PostHistoryTypeId","tinyint(3)"
"query://874190/?table=PostHistory|PostHistory","3","PostId","int(10)"
"query://874190/?table=PostHistory|PostHistory","4","RevisionGUID","uniqueidentifier"
"query://874190/?table=PostHistory|PostHistory","5","CreationDate","datetime"
"query://874190/?table=PostHistory|PostHistory","6","UserId","int(10)"
"query://874190/?table=PostHistory|PostHistory","7","UserDisplayName","nvarchar(40)"
"query://874190/?table=PostHistory|PostHistory","8","Comment","nvarchar(400)"
"query://874190/?table=PostHistory|PostHistory","9","Text","nvarchar(-1)"
"query://874190/?table=PostHistory|PostHistory","10","ContentLicense","varchar(30)"
"query://874190/?table=PostHistoryTypes|PostHistoryTypes","1","Id","tinyint(3)"
"query://874190/?table=PostHistoryTypes|PostHistoryTypes","2","Name","nvarchar(50)"
"query://874190/?table=PostLinks|PostLinks","1","Id","bigint(19)"
"query://874190/?table=PostLinks|PostLinks","2","CreationDate","datetime"
"query://874190/?table=PostLinks|PostLinks","3","PostId","int(10)"
"query://874190/?table=PostLinks|PostLinks","4","RelatedPostId","int(10)"
"query://874190/?table=PostLinks|PostLinks","5","LinkTypeId","tinyint(3)"
"query://874190/?table=PostNotices|PostNotices","1","Id","int(10)"
"query://874190/?table=PostNotices|PostNotices","2","PostId","int(10)"
"query://874190/?table=PostNotices|PostNotices","3","PostNoticeTypeId","int(10)"
"query://874190/?table=PostNotices|PostNotices","4","CreationDate","datetime"
"query://874190/?table=PostNotices|PostNotices","5","DeletionDate","datetime"
"query://874190/?table=PostNotices|PostNotices","6","ExpiryDate","datetime"
"query://874190/?table=PostNotices|PostNotices","7","Body","nvarchar(-1)"
"query://874190/?table=PostNotices|PostNotices","8","OwnerUserId","int(10)"
"query://874190/?table=PostNotices|PostNotices","9","DeletionUserId","int(10)"
"query://874190/?table=PostNoticeTypes|PostNoticeTypes","1","Id","int(10)"
"query://874190/?table=PostNoticeTypes|PostNoticeTypes","2","ClassId","tinyint(3)"
"query://874190/?table=PostNoticeTypes|PostNoticeTypes","3","Name","nvarchar(80)"
"query://874190/?table=PostNoticeTypes|PostNoticeTypes","4","Body","nvarchar(-1)"
"query://874190/?table=PostNoticeTypes|PostNoticeTypes","5","IsHidden","bit"
"query://874190/?table=PostNoticeTypes|PostNoticeTypes","6","Predefined","bit"
"query://874190/?table=PostNoticeTypes|PostNoticeTypes","7","PostNoticeDurationId","int(10)"
"query://874190/?table=Posts|Posts","1","Id","int(10)"
"query://874190/?table=Posts|Posts","2","PostTypeId","tinyint(3)"
"query://874190/?table=Posts|Posts","3","AcceptedAnswerId","int(10)"
"query://874190/?table=Posts|Posts","4","ParentId","int(10)"
"query://874190/?table=Posts|Posts","5","CreationDate","datetime"
"query://874190/?table=Posts|Posts","6","DeletionDate","datetime"
"query://874190/?table=Posts|Posts","7","Score","int(10)"
"query://874190/?table=Posts|Posts","8","ViewCount","int(10)"
"query://874190/?table=Posts|Posts","9","Body","nvarchar(-1)"
"query://874190/?table=Posts|Posts","10","OwnerUserId","int(10)"
"query://874190/?table=Posts|Posts","11","OwnerDisplayName","nvarchar(40)"
"query://874190/?table=Posts|Posts","12","LastEditorUserId","int(10)"
"query://874190/?table=Posts|Posts","13","LastEditorDisplayName","nvarchar(40)"
"query://874190/?table=Posts|Posts","14","LastEditDate","datetime"
"query://874190/?table=Posts|Posts","15","LastActivityDate","datetime"
"query://874190/?table=Posts|Posts","16","Title","nvarchar(250)"
"query://874190/?table=Posts|Posts","17","Tags","nvarchar(4000)"
"query://874190/?table=Posts|Posts","18","AnswerCount","int(10)"
"query://874190/?table=Posts|Posts","19","CommentCount","int(10)"
"query://874190/?table=Posts|Posts","20","FavoriteCount","int(10)"
"query://874190/?table=Posts|Posts","21","ClosedDate","datetime"
"query://874190/?table=Posts|Posts","22","CommunityOwnedDate","datetime"
"query://874190/?table=Posts|Posts","23","ContentLicense","varchar(30)"
"query://874190/?table=PostsWithDeleted|PostsWithDeleted","1","Id","int(10)"
"query://874190/?table=PostsWithDeleted|PostsWithDeleted","2","PostTypeId","tinyint(3)"
"query://874190/?table=PostsWithDeleted|PostsWithDeleted","3","AcceptedAnswerId","int(10)"
"query://874190/?table=PostsWithDeleted|PostsWithDeleted","4","ParentId","int(10)"
"query://874190/?table=PostsWithDeleted|PostsWithDeleted","5","CreationDate","datetime"
"query://874190/?table=PostsWithDeleted|PostsWithDeleted","6","DeletionDate","datetime"
"query://874190/?table=PostsWithDeleted|PostsWithDeleted","7","Score","int(10)"
"query://874190/?table=PostsWithDeleted|PostsWithDeleted","8","ViewCount","int(10)"
"query://874190/?table=PostsWithDeleted|PostsWithDeleted","9","Body","nvarchar(-1)"
"query://874190/?table=PostsWithDeleted|PostsWithDeleted","10","OwnerUserId","int(10)"
"query://874190/?table=PostsWithDeleted|PostsWithDeleted","11","OwnerDisplayName","nvarchar(40)"
"query://874190/?table=PostsWithDeleted|PostsWithDeleted","12","LastEditorUserId","int(10)"
"query://874190/?table=PostsWithDeleted|PostsWithDeleted","13","LastEditorDisplayName","nvarchar(40)"
"query://874190/?table=PostsWithDeleted|PostsWithDeleted","14","LastEditDate","datetime"
"query://874190/?table=PostsWithDeleted|PostsWithDeleted","15","LastActivityDate","datetime"
"query://874190/?table=PostsWithDeleted|PostsWithDeleted","16","Title","nvarchar(250)"
"query://874190/?table=PostsWithDeleted|PostsWithDeleted","17","Tags","nvarchar(4000)"
"query://874190/?table=PostsWithDeleted|PostsWithDeleted","18","AnswerCount","int(10)"
"query://874190/?table=PostsWithDeleted|PostsWithDeleted","19","CommentCount","int(10)"
"query://874190/?table=PostsWithDeleted|PostsWithDeleted","20","FavoriteCount","int(10)"
"query://874190/?table=PostsWithDeleted|PostsWithDeleted","21","ClosedDate","datetime"
"query://874190/?table=PostsWithDeleted|PostsWithDeleted","22","CommunityOwnedDate","datetime"
"query://874190/?table=PostsWithDeleted|PostsWithDeleted","23","ContentLicense","varchar(30)"
"query://874190/?table=PostTags|PostTags","1","PostId","int(10)"
"query://874190/?table=PostTags|PostTags","2","TagId","int(10)"
"query://874190/?table=PostTypes|PostTypes","1","Id","tinyint(3)"
"query://874190/?table=PostTypes|PostTypes","2","Name","nvarchar(50)"
"query://874190/?table=RelatedQuestions|RelatedQuestions","1","PostId","int(10)"
"query://874190/?table=RelatedQuestions|RelatedQuestions","2","RelatedPostId","int(10)"
"query://874190/?table=RelatedQuestions|RelatedQuestions","3","Position","int(10)"
"query://874190/?table=RelatedQuestions|RelatedQuestions","4","Score","decimal"
"query://874190/?table=ReviewRejectionReasons|ReviewRejectionReasons","1","Id","tinyint(3)"
"query://874190/?table=ReviewRejectionReasons|ReviewRejectionReasons","2","Name","nvarchar(100)"
"query://874190/?table=ReviewRejectionReasons|ReviewRejectionReasons","3","Description","nvarchar(300)"
"query://874190/?table=ReviewRejectionReasons|ReviewRejectionReasons","4","PostTypeId","tinyint(3)"
"query://874190/?table=ReviewTaskResults|ReviewTaskResults","1","Id","int(10)"
"query://874190/?table=ReviewTaskResults|ReviewTaskResults","2","ReviewTaskId","int(10)"
"query://874190/?table=ReviewTaskResults|ReviewTaskResults","3","ReviewTaskResultTypeId","tinyint(3)"
"query://874190/?table=ReviewTaskResults|ReviewTaskResults","4","CreationDate","date"
"query://874190/?table=ReviewTaskResults|ReviewTaskResults","5","RejectionReasonId","tinyint(3)"
"query://874190/?table=ReviewTaskResults|ReviewTaskResults","6","Comment","nvarchar(400)"
"query://874190/?table=ReviewTaskResultTypes|ReviewTaskResultTypes","1","Id","tinyint(3)"
"query://874190/?table=ReviewTaskResultTypes|ReviewTaskResultTypes","2","Name","nvarchar(100)"
"query://874190/?table=ReviewTaskResultTypes|ReviewTaskResultTypes","3","Description","nvarchar(300)"
"query://874190/?table=ReviewTasks|ReviewTasks","1","Id","int(10)"
"query://874190/?table=ReviewTasks|ReviewTasks","2","ReviewTaskTypeId","tinyint(3)"
"query://874190/?table=ReviewTasks|ReviewTasks","3","CreationDate","date"
"query://874190/?table=ReviewTasks|ReviewTasks","4","DeletionDate","date"
"query://874190/?table=ReviewTasks|ReviewTasks","5","ReviewTaskStateId","tinyint(3)"
"query://874190/?table=ReviewTasks|ReviewTasks","6","PostId","int(10)"
"query://874190/?table=ReviewTasks|ReviewTasks","7","SuggestedEditId","int(10)"
"query://874190/?table=ReviewTasks|ReviewTasks","8","CompletedByReviewTaskId","int(10)"
"query://874190/?table=ReviewTaskStates|ReviewTaskStates","1","Id","tinyint(3)"
"query://874190/?table=ReviewTaskStates|ReviewTaskStates","2","Name","nvarchar(50)"
"query://874190/?table=ReviewTaskStates|ReviewTaskStates","3","Description","nvarchar(300)"
"query://874190/?table=ReviewTaskTypes|ReviewTaskTypes","1","Id","tinyint(3)"
"query://874190/?table=ReviewTaskTypes|ReviewTaskTypes","2","Name","nvarchar(50)"
"query://874190/?table=ReviewTaskTypes|ReviewTaskTypes","3","Description","nvarchar(300)"
"query://874190/?table=SuggestedEdits|SuggestedEdits","1","Id","int(10)"
"query://874190/?table=SuggestedEdits|SuggestedEdits","2","PostId","int(10)"
"query://874190/?table=SuggestedEdits|SuggestedEdits","3","CreationDate","datetime"
"query://874190/?table=SuggestedEdits|SuggestedEdits","4","ApprovalDate","datetime"
